time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1709480081000299500,206.21429956054686,209.81384185887873,2.075524348171459,6.499831343889019,46.86394353066522,165.22384170629084,174.50816004948388,5.003795854269042,2.9642139061796433,16.853785334616894,16.20644084396454
1709480082000300800,207.21430078125,209.26982775889337,2.041858850436536,6.419136756927927,46.863795116813435,164.67982760630548,174.19126151412325,5.001115323217073,2.9687341673973147,16.853809325391886,16.213911042796756
1709480083000298500,208.21429858398437,208.7191587248817,2.0455354002230037,6.476211844896203,46.86364775232659,164.12915857229382,172.52382308239214,4.996828067926657,2.9759446050572227,16.853840739916766,16.2244944650673
1709480084000298000,209.21429809570313,207.8448231620714,2.050645488523948,6.54001820220676,46.86350338049802,163.25482300948352,171.6935186024908,4.999405574927064,2.9716125134642013,16.853866257336602,16.15926517527047
1709480085000300500,210.21430053710938,207.45061210170388,2.067357784563605,6.671178152383742,46.86335971162197,162.860611949116,170.83492334303997,5.00604905810094,2.9604070430728826,16.853898679199514,16.076153921933866
1709480086000297700,211.21429760742188,206.6538943136111,2.0861154889561493,6.794257500958395,46.863216394289324,162.0638941610232,169.96550287947082,5.008494272447533,2.9562682820828505,16.853934877331188,16.02646791290719
1709480087000300300,212.21430029296874,205.9954049345106,2.0542798963744384,6.790317926250182,46.86307308270047,161.4054047819227,169.32650664745123,5.006625711053597,2.9594317059540174,16.853973153977435,15.917349504944974
1709480088000297500,213.21429736328125,205.21443059574813,2.070043929187384,7.636252127024252,46.862940157959756,160.62443044316024,168.9300407385091,4.99930678184549,2.9717787154804296,16.854008273450624,14.696231464866807
1709480089000297000,214.214296875,204.47692615911365,2.089310930755179,9.15652117810351,46.86282569019628,159.88692600652575,168.7377974872366,4.988220051617084,2.990350773644137,16.854040977434675,12.637760134650927
1709480090000299800,215.2142998046875,204.10199955292046,2.3170533544512786,10.320636694254542,46.86273148946038,159.51199940033257,168.64842945724865,4.970695163452558,3.0193917640508627,16.85406707873314,10.291646686827997
1709480091000297000,216.214296875,203.7994664022699,2.479746390370487,13.174901067531074,46.86266048576802,159.209466249682,169.3105255618646,4.9636878809962,3.0308974995602034,16.85408267019363,8.200509658357847
1709480092000296700,217.21429663085937,203.64259141497314,2.6452656181443817,18.16130494574673,46.86260527144715,159.05259126238525,170.06889984210164,4.958898377640451,3.03872735088618,16.854095263705574,6.305205775221261
1709480093000296700,218.21429663085937,203.4996113050729,2.8161420293281414,24.707539736964165,46.86256235317157,158.909611152485,171.20187420096306,4.950292529683566,3.0527267980197506,16.85410309617486,4.936121193771087
1709480094000295700,219.21429565429688,203.36405976023525,2.9848971489634084,36.37303724669138,46.862532225614686,158.77405960764736,172.6092328491789,4.942913344151816,3.0646606182405813,16.85410587859657,3.5618518760183204
1709480095000298500,220.21429858398437,203.29252575803548,3.153846021383891,54.22434932538217,46.86251152371914,158.7025256054476,173.77325284472008,4.938362337606771,3.0719886808541186,16.854108193931033,2.5303857726642405
1709480096000298800,221.214298828125,203.3541203457862,3.182166543176762,57.502750980929136,46.86249192939978,158.76412019319832,174.34727917605022,4.935710904073957,3.0762468860925773,16.854110645004464,2.4161909188841473
1709480097000298000,222.21429809570313,203.2831059731543,3.1867321475297317,57.90732906537023,46.862471428496185,158.69310582056642,174.73027129688015,4.933977310285877,3.0790266212511037,16.85411220902433,2.4046670984314393
1709480098000297500,223.21429736328125,203.37703049276024,3.0878847324850005,42.44016562381373,46.862442693534085,158.78703034017235,175.41050722859967,4.93021028776708,3.0850548700443707,16.854113593123206,3.1912294212216605
1709480099000296700,224.21429663085937,203.40659332927316,2.9135152845239722,29.608833289532154,46.86240337130616,158.81659317668527,176.85786398370922,4.925599351799211,3.0924113662874837,16.854115007630664,4.350827643316402
1709480100000298000,225.21429809570313,203.4997669328004,2.734551890531799,21.460259956836424,46.862350638711696,158.90976678021252,180.90784293262274,4.940714143660995,3.06820481445047,16.85411084826371,5.704840155244167
1709480101000294700,226.2142946777344,203.45128985587507,2.6145249534319905,17.687662521652637,46.86228990270103,158.86128970328718,189.92861643927588,4.94300129859462,3.064518754206073,16.854083022004414,6.666709159198649
1709480102000294100,227.2142941894531,203.52318814303726,2.5090868551386034,14.229838736242797,46.86222052597009,158.93318799044937,197.62090951237826,4.944692788437978,3.0617887354875233,16.854039067603697,7.905826472272879
1709480103000294700,228.2142946777344,203.53897479269654,2.4350190516137427,11.81037711339447,46.862140623559256,158.94897464010864,200.4190999338103,4.9523208982977165,3.0494351531181203,16.853990457865795,9.214868794728826
1709480104000295000,229.214294921875,203.46033392194659,2.3778743127390203,10.578509141327446,46.86205714084448,158.8703337693587,203.11899440855964,4.960487864165824,3.036131944144131,16.85393227884645,10.018124086875694
1709480105000297000,230.214296875,203.15473742503673,2.3655565845441635,10.477885839818272,46.861981214922054,158.56473727244884,207.0142243946128,4.958075123210498,3.040070411255313,16.85386518902919,9.986897978944056
1709480106000296000,231.2142958984375,202.83369760774076,2.400217910787126,10.67191141377322,46.8619092729261,158.24369745515287,210.5844534182349,4.94872237885815,3.0552714854456657,16.85379535338226,9.848188182851501
1709480107000292900,232.21429296875,202.65937591250986,2.3219609151838907,9.071068516303265,46.8618264719352,158.06937575992197,213.77775751104866,4.94382764892916,3.063185467854079,16.85370734681333,11.130107185425366
1709480108000293000,233.21429321289062,202.13948407862335,2.1451324027285423,8.926133265831993,46.861737279501476,157.54948392603546,214.4162881092881,4.944108781461851,3.0627316875398427,16.8536089292038,12.50755329996113
1709480109000294700,234.2142946777344,201.43633786030114,2.0991181173464954,7.762892586795345,46.86163368479926,156.84633770771325,212.95019435520697,4.940395403154451,3.0687180211415983,16.853507530228296,13.962769597337983
1709480110000292900,235.21429296875,200.76645633019507,2.0861791041468636,7.010431276527503,46.8615158219783,156.17645617760718,210.1994786375828,4.930217443019183,3.0850434352433718,16.85340349766403,15.05628568841588
